ID_TRC,PROPRIETAIRE_REF,CODE_ARR,FORME,RUELLE_ID,DATE_AMENAGEMENT,DATE_BONIFICATION,CIRCULATION,TYPE_AMENAGEMENT,TYPE_RECOUVREMENT,SUPERFICIE_RUELLE_M2,SUPERFICIE_VERDISSEMENT_M2,NUMERO_DE_RESOLUTION,DATE_MAJ
402553,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000096","20170701",,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",121.048,,,"20191128"
402561,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000115","20190701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",120.984,,,"20191202"
406120,"Sud-Ouest","SO","A","SO-A-1004004","20140701",20180701,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",143.754,,,"20191104"
406173,"Sud-Ouest","SO","A","SO-A-1004004","20140701",20180701,"Ouverte","Mobilier","Mixte",144.462,,,"20191104"
401435,"Mercier - Hochelaga-Maisonneuve","MHM","H","MHM-H-1000054","20200928",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",160.787,"7.68",,"20201113"
401439,"Mercier - Hochelaga-Maisonneuve","MHM","H","MHM-H-1000021","20140701",,"Ouverte","Mobilier","Asphalté ou bétonnée",161.137,"2.2",,"20191111"
401440,"Mercier - Hochelaga-Maisonneuve","MHM","H","MHM-H-1000021","20140701",,"Fermée","Mobilier","Asphalté ou bétonnée",161.149,"31.32",,"20191111"
401442,"Mercier - Hochelaga-Maisonneuve","MHM","H","MHM-H-1000044",,,"Ouverte",,"Asphalté ou bétonnée",161.196,,,"20191115"
406154,"Verdun","VRD","T","VRD-T-1020133","20131005",,"Ouverte","Plates-bandes","Asphalté ou bétonnée",212.663,,,"20201126"
402038,"Mercier - Hochelaga-Maisonneuve","MHM","H","MHM-H-1000007","20120701",20130701,"Ouverte","Mobilier et marquage au sol","Asphalté ou bétonnée",378.803,"1.48",,"20191108"
403571,"Outremont","OUT","H","OUT-H-1000003","20170801",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",784.553,,,"20191112"
404319,"Plateau - Mont-Royal","PMR","H","PMR-H-1000018","20000801",20170801,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",116.505,,,"20191114"
406557,"Sud-Ouest","SO","H","SO-H-1004001",,,"Ouverte",,"Asphalté ou bétonnée",112.7,"0",,"20191104"
401248,"Mercier - Hochelaga-Maisonneuve","MHM","H","MHM-H-1000052",,,"Ouverte",,"Asphalté ou bétonnée",151.61,"0",,"20201113"
400288,"Ahuntsic - Cartierville","AC","I","AC-I-1000006","20201003",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1109.462,"18.55",,"20201118"
402946,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000018","20110701",,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",194.847,,,"20191203"
402407,"Rosemont - La Petite-Patrie","RPP","J","RPP-J-1000084","20160701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1108.815,,,"20191127"
402467,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000081","20160701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1129.271,,,"20191127"
405115,"Villeray - St-Michel - Parc-Extension","VSMPE","U","VSMPE-U-1200015","20190701",,"Fermeture saisonnière","Mobilier","Gazonnée",916.547,"14.6",,"20191024"
405259,"Villeray - St-Michel - Parc-Extension","VSMPE","I","VSMPE-I-1100003","20140701",,"Ouverte","Plates-bandes, mobilier et marquage au sol","Asphalté ou bétonnée",982.254,,,"20191021"
406368,"Sud-Ouest","SO","H","SO-H-1004008","20180701",,"Ouverte",,"Asphalté ou bétonnée",97.491,"32",,"20191104"
406161,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000103","20180701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1696.013,,,"20191129"
406162,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000021","20120701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1728.453,,,"20191203"
405621,"Sud-Ouest","SO","L","SO-L-1001001","20140701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",406.807,,,"20191101"
406059,"Sud-Ouest","SO","T","SO-T-1002011","20170701",20180701,"Ouverte","Plates-bandes","Mixte",443.79,"5",,"20191103"
400250,"Côte-Des-Neiges - Notre-Dame-de-Grâce","CDNNDG","T","CDNNDG-T-1000003","20150615",20160531,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",126.438,"45.49",,"20190718"
401051,"Mercier - Hochelaga-Maisonneuve","MHM","H","MHM-H-1000042","20180701",,"Ouverte","Mobilier","Asphalté ou bétonnée",144.639,"1.09",,"20191111"
401112,"Mercier - Hochelaga-Maisonneuve","MHM","H","MHM-H-1000051","20200923",,"Ouverte","Mobilier","Asphalté ou bétonnée",139.664,"1.44",,"20201113"
401020,"Mercier - Hochelaga-Maisonneuve","MHM","H","MHM-H-1000007","20120701",20130701,"Ouverte",,"Asphalté ou bétonnée",125.56,"0",,"20191108"
406105,"Sud-Ouest","SO","A","SO-A-1004004","20140701",20180701,"Ouverte",,"Asphalté ou bétonnée",140.161,,,"20191104"
